ID	Problem Name	Online Judge	Contest	Difficulty Level	Depends On
1	Arrival of the General	Codeforces	Codeforces Round #103 (Div. 2)	1	
2	Beautiful Matrix	Codeforces	Codeforces Round #161 (Div. 2)	1	
3	Ultra-Fast Mathematician	Codeforces	Codeforces Beta Round #57 (Div. 2)	1	
4	Blackjack	Codeforces	Codeforces Beta Round #80 (Div. 2 Only)	1	
5	HQ9+	Codeforces	Codeforces Beta Round #96 (Div. 2)	1	
6	I_love_\%username\%	Codeforces	Codeforces Round #109 (Div. 2)	1	
7	Petya and Strings	Codeforces	Codeforces Beta Round #85 (Div. 2 Only)	1	
8	Cookies	Codeforces	Codeforces Beta Round #94 (Div. 2 Only)	1	
9	Candy Bags	Codeforces	Codeforces Round #194 (Div. 2)	1	
10	Drinks	Codeforces	Codeforces Round #126 (Div. 2)	1	
11	Vasily the Bear and Triangle	Codeforces	Codeforces Round #195 (Div. 2)	1	
12	Lunch Rush	Codeforces	Codeforces Round #169 (Div. 2)	1	
13	Cakeminator	Codeforces	Codeforces Round #192 (Div. 2)	1	
14	Stones on the Table	Codeforces	Codeforces Round #163 (Div. 2)	1	
15	Bit++	Codeforces	Codeforces Round #173 (Div. 2)	1	
16	Levko and Table	Codeforces	Codeforces Round #210 (Div. 2)	1	
17	Young Physicist	Codeforces	Codeforces Beta Round #63 (Div. 2)	1	
18	Chips	Codeforces	Codeforces Beta Round #75 (Div. 2 Only)	1	
19	Tram	Codeforces	Codeforces Beta Round #87 (Div. 2 Only)	1	
20	Queue at the School	Codeforces	Codeforces Round #163 (Div. 2)	1	
21	Way Too Long Words	Codeforces	Codeforces Beta Round #65 (Div. 2)	1	
22	Present from Lena	Codeforces	Codeforces Beta Round #89 (Div. 2)	2	
23	Jeff and Digits	Codeforces	Codeforces Round #204 (Div. 2)	2	
24	Slightly Decreasing Permutations	Codeforces	Codeforces Round #175 (Div. 2)	2	
25	Sale	Codeforces	Codeforces Beta Round #34 (Div. 2)	2	
26	Fancy Fence	Codeforces	Codeforces Round #165 (Div. 2)	2	
27	Dragons	Codeforces	Codeforces Round #142 (Div. 2)	2	
28	The number of positions	Codeforces	Codeforces Beta Round #92 (Div. 2 Only)	2	
29	Translation	Codeforces	Codeforces Beta Round #40 (Div. 2)	2	
30	Wizards and Demonstration	Codeforces	Codeforces Round #114 (Div. 2)	2	
31	Xenia and Ringroad	Codeforces	Codeforces Round #197 (Div. 2)	2	
32	Little Elephant and Rozdil	Codeforces	Codeforces Round #129 (Div. 2)	2	
