ID	Problem Name	Online Judge	Contest	Difficulty Level	Depends On
1	Presents	Codeforces	Codeforces Beta Round #97 (Div. 2)	1	
2	Nearly Lucky Number	Codeforces	Codeforces Beta Round #84 (Div. 2 Only)	1	
3	Petya and Strings	Codeforces	Codeforces Beta Round #85 (Div. 2 Only)	1	
4	Tram	Codeforces	Codeforces Beta Round #87 (Div. 2 Only)	1	
5	Ultra-Fast Mathematician	Codeforces	Codeforces Beta Round #57 (Div. 2)	1	
6	Amusing Joke	Codeforces	Codeforces Round #101 (Div. 2)	1	
7	Way Too Long Words	Codeforces	Codeforces Beta Round #65 (Div. 2)	1	
8	Xenia and Ringroad	Codeforces	Codeforces Round #197 (Div. 2)	2	
9	Slightly Decreasing Permutations	Codeforces	Codeforces Round #175 (Div. 2)	2	
10	Football	Codeforces	Codeforces Beta Round #77 (Div. 2 Only)	2	
11	Caisa and Pylons	Codeforces	Codeforces Round #264 (Div. 2)	2	
12	Present from Lena	Codeforces	Codeforces Beta Round #89 (Div. 2)	2	
13	k-String	Codeforces	Codeforces Round #135 (Div. 2)	2	
14	Fancy Fence	Codeforces	Codeforces Round #165 (Div. 2)	2	
15	Chat room	Codeforces	Codeforces Beta Round #54 (Div. 2)	2	
16	Contest	Codeforces	Codeforces Round #285 (Div. 2)	2	
17	Twins	Codeforces	Codeforces Round #111 (Div. 2)	2	
18	Puzzles	Codeforces	Codeforces Round #196 (Div. 2)	2	
19	String Task	Codeforces	Codeforces Beta Round #89 (Div. 2)	2	
20	Mashmokh and ACM	Codeforces	Codeforces Round #240 (Div. 1) & Codeforces Round #240 (Div. 2)	3	
21	The Child and Toy	Codeforces	Codeforces Round #250 (Div. 2) & Codeforces Round #250 (Div. 1)	3	
22	Fence	Codeforces	Codeforces Round #211 (Div. 2)	3	
23	T-primes	Codeforces	Codeforces Round #142 (Div. 2)	3	
24	Rank List	Codeforces	Codeforces Round #113 (Div. 2)	3	
25	Fox and Box Accumulation	Codeforces	Codeforces Round #228 (Div. 1) & Codeforces Round #228 (Div. 2)	3	
26	Cinema Line	Codeforces	Codeforces Round #202 (Div. 2)	3	
27	Escape from Stones	Codeforces	Codeforces Round #162 (Div. 1) & Codeforces Round #162 (Div. 2)	3	
28	Laptops	Codeforces	Codeforces Round #260 (Div. 2)	3	
29	Little Elephant and Bits	Codeforces	Codeforces Round #157 (Div. 1) & Codeforces Round #157 (Div. 2)	3	
30	Flipping Game	Codeforces	Codeforces Round #191 (Div. 2)	3	
31	Mashmokh and ACM	Codeforces	Codeforces Round #240 (Div. 1) & Codeforces Round #240 (Div. 2)	3	
32	Dima and Staircase	Codeforces	Codeforces Round #167 (Div. 2) & Codeforces Round #167 (Div. 1)	3	
33	Building Permutation	Codeforces	Codeforces Round #175 (Div. 2)	3	
34	Ilya and Queries	Codeforces	Codeforces Round #186 (Div. 2)	3	
35	Kuriyama Mirai's Stones	Codeforces	Codeforces Round #248 (Div. 2)	3	
36	Party	Codeforces	Codeforces Beta Round #87 (Div. 1 Only) & Codeforces Beta Round #87 (Div. 2 Only)	3	
37	Ice Skating	Codeforces	Codeforces Round #134 (Div. 1) & Codeforces Round #134 (Div. 2)	3	
38	Cut Ribbon	Codeforces	Codeforces Round #119 (Div. 2)	3	
39	Booking System	Codeforces	Codeforces Round #241 (Div. 2)	4	
40	Fox And Names	Codeforces	Codeforces Round #290 (Div. 2) & Codeforces Round #290 (Div. 1)	4	
41	Fox And Two Dots	Codeforces	Codeforces Round #290 (Div. 2)	4	
42	Pocket Book	Codeforces	Codeforces Round #108 (Div. 2)	4	
43	Array	Codeforces	Codeforces Round #138 (Div. 2)	4	
44	Ladder	Codeforces	Codeforces Round #171 (Div. 2)	4	
